key	CTD_T0	CTD_T9	s82A_T0	s82A_T1	s82A_T2	s82A_T3	s82A_T4	s82A_T5	s82A_T6	s82A_T7	s82A_T8	s82A_T9	s83CDEEP_T0	s83CDEEP_T4	s83CDEEP_TP9	s83CMIDDLE_T4	s83CMIDDLE_TP9	s83CSHALLOW_T0	s83CSHALLOW_T4	s83CSHALLOW_T5	s83CSHALLOW_T9
1547			0.237741701385	0.183957341567	0.182023435874	0.151778464068	0.148874480619	0.0758699867076	0.0	0.126565758328	0.189456281008	0.133409241578	0.102855059708	0.140234110208	0.135821682778	0.335610818761	0.158206010654	0.0769278506495	0.147613521653	0.178234334311	0.216464536649
1548			0.231575643898	0.304958021917	0.260401173608	0.347865468171	0.250538158375	0.23301386257	0.226583756308	0.158103631157	0.167906363533	0.156883173712	0.0927722752597	0.137704182039	0.274548499363	0.417415735978	0.161547104791	0.123850311853	0.435076477133	0.271663969262	0.190318724013
1522			0.74846635898	0.651317090834	0.793834190274	0.982051700801	0.774422660537	1.34403844019	2.64800005805	0.54825780206	0.538136457757	0.663480412308	0.714768402197	0.569951543164	0.557045978763	2.02282432216	0.927636645608	0.682379204386	0.438978915288	0.523071487493	1.49029549172
1523	inf		0.649770257214	0.847947501767	0.639327520472	0.74167909014	0.490993966121	0.676435890322	2.31829809004	0.665255300343	0.76261753587	1.28590823344	0.808539493359	0.759752497667	0.644252856438	0.153836913311	0.543067299349	0.928375992031	0.561333964614	0.559547174756	0.765574302401
1524	inf		1.00783480052	0.915499164349	0.978553972444	0.956191857278	1.04743164346	1.04824504102	0.492776267926	0.927757973481	0.866773312413	0.889302370848	1.10779188112	0.968931902069	0.91971135192	0.868547806396	0.897064221959	0.969855866107	0.937339186174	0.998835618015	0.97757141408
1525			0.979585646771	0.944875229833	0.949606927005	1.01195432778	1.02507682732	1.31492737466	0.921136327788	1.01786776138	0.927277780064	1.04102991769	0.78884867706	1.09781645925	0.92227150497	0.695203980114	1.06728656204	0.996326121458	1.33145061806	1.0682162462	0.967233301153
1526			1.09639971913	0.97371922228	1.09217714162	1.26963249811	1.08240338104	1.07737855819	1.41615494188	1.25355293165	1.03391284975	0.97350238336	1.02571389633	1.0354037453	1.03140791207	1.56074112969	1.05045724523	1.18374352135	1.27548061245	1.38287631563	1.10428976399
1527	inf		1.00185956363	0.990651792175	0.950083897906	1.02527274882	1.19300331508	1.10357994688	1.33525892122	1.09006651216	1.08436640335	1.10190999471	0.939855247101	1.0118245718	1.0710245772	0.897859087416	1.12470263561	0.98329405088	0.742928182351	0.997729451609	0.864269976089
1528			1.07139887883	1.04453549365	1.01717287946	1.04228303817	0.959618696682	1.01955554483	1.81244788087	1.06677281241	1.19408327494	1.0070624909	1.00751458054	0.977064653783	0.988700545307	1.43328218259	1.1805377376	0.95140337108	0.754243833119	1.0099235947	1.09838925955
1529			0.97631029819	0.944368879867	0.940148948962	0.762713686395	1.25007231823	1.01660727327	0.797731670905	0.950297702563	1.16732376486	1.08097983836	1.08414146954	1.04410432737	0.987498340005	1.06624270553	1.00336511977	1.1228904421	1.08925410788	0.864060733118	1.00282254248
