key	CTD_T0_SORTED_FILTERED	CTD_T9_SORTED_FILTERED	s82A_T0_SORTED_FILTERED	s82A_T1_SORTED_FILTERED	s82A_T2_SORTED_FILTERED	s82A_T3_SORTED_FILTERED	s82A_T4_SORTED_FILTERED	s82A_T5_SORTED_FILTERED	s82A_T6_SORTED_FILTERED	s82A_T7_SORTED_FILTERED	s82A_T8_SORTED_FILTERED	s82A_T9_SORTED_FILTERED	s83CDEEP_T0_SORTED_FILTERED	s83CDEEP_T4_SORTED_FILTERED	s83CDEEP_TP9_SORTED_FILTERED	s83CMIDDLE_T4_SORTED_FILTERED	s83CMIDDLE_TP9_SORTED_FILTERED	s83CSHALLOW_T0_SORTED_FILTERED	s83CSHALLOW_T4_SORTED_FILTERED	s83CSHALLOW_T5_SORTED_FILTERED	s83CSHALLOW_T9_SORTED_FILTERED
633	0.0	0.0	129.8706896551724	97.61781609195403	366.2413793103448	17.24137931034483	9.051724137931034	5.433908045977011	1.1925287356321839	101.77586206896552	69.11781609195403	39.189655172413794	40.62356321839081	125.02011494252874	39.735632183908045	7.925287356321839	76.07471264367815	25.448275862068964	5.195402298850575	34.68390804597701	26.333333333333332
634	0.0	0.0	116.77715355805243	91.55992509363296	334.1479400749064	17.269662921348313	14.661048689138577	5.7677902621722845	1.6348314606741574	105.24719101123596	63.13857677902622	39.750936329588015	41.68726591760299	113.2378277153558	43.262172284644194	15.844569288389513	104.13295880149813	22.98689138576779	5.556179775280899	28.01498127340824	30.129213483146067
635	0.0	0.0	118.25925925925925	101.91666666666667	316.10185185185185	16.074074074074073	13.097222222222221	4.273148148148148	2.3518518518518516	112.72222222222223	63.039351851851855	36.238425925925924	31.33564814814815	100.12268518518519	41.84027777777778	29.564814814814813	78.92129629629629	24.444444444444443	7.4375	29.94212962962963	38.02546296296296
636	0.0	0.0	114.11494252873563	74.85775862068965	324.5632183908046	11.512931034482758	14.956896551724139	4.192528735632184	1.3405172413793103	124.32614942528735	60.85632183908046	34.44109195402299	32.964080459770116	96.4066091954023	40.68247126436781	12.224137931034482	87.89655172413794	21.389367816091955	4.557471264367816	30.501436781609197	23.65948275862069
637	0.0	0.0	117.626204238921	89.00578034682081	322.8323699421965	14.651252408477841	13.273603082851638	4.541425818882466	0.8053949903660886	108.25433526011561	64.42967244701349	31.048169556840076	32.91907514450867	89.41811175337187	38.94412331406551	15.138728323699421	93.51445086705202	27.845857418111752	4.901734104046243	33.227360308285164	19.633911368015415
1814	0.0	0.0	130.03333333333333	91.22111111111111	293.59444444444443	18.325555555555557	15.04888888888889	6.1722222222222225	0.7033333333333334	114.29777777777778	55.48888888888889	35.62777777777778	37.89888888888889	100.14333333333333	42.73444444444444	13.204444444444444	75.06666666666666	22.052222222222223	9.104444444444445	25.837777777777777	21.14
1815	0.0	0.0	116.70707070707071	79.41919191919192	299.9107744107744	15.484848484848484	8.464646464646465	5.936026936026936	2.1043771043771042	110.0909090909091	52.54713804713805	29.425925925925927	36.46969696969697	100.46464646464646	37.678451178451176	8.345117845117844	102.36700336700336	21.543771043771045	7.893939393939394	30.872053872053872	24.031986531986533
1816	0.0	0.0	91.85451197053408	69.42909760589319	223.81399631675876	13.082872928176796	8.289134438305709	4.804788213627993	0.02578268876611418	80.28729281767956	40.77716390423573	32.71270718232044	30.593001841620627	88.04051565377532	38.70165745856354	6.578268876611418	70.49539594843462	19.793738489871085	3.016574585635359	20.987108655616943	26.613259668508288
1817	0.346448087431694	0.0	104.83934426229509	88.61967213114754	285.78579234972676	14.897267759562842	13.883060109289618	4.673770491803278	1.0584699453551913	102.66010928961748	53.70983606557377	27.046448087431695	39.58579234972677	94.9672131147541	37.11311475409836	13.390710382513662	80.95081967213115	24.011475409836066	6.50983606557377	29.640437158469947	26.231147540983606
1818	0.33484848484848484	0.0	127.28181818181818	81.75454545454545	256.57878787878786	19.24848484848485	13.072727272727272	2.55	0.25606060606060604	117.86363636363636	48.38181818181818	34.21515151515152	37.96212121212121	110.35757575757576	38.65	5.583333333333333	87.32878787878788	25.971212121212123	3.581818181818182	30.133333333333333	22.240909090909092
1819	0.0	0.0	129.75073746312685	80.42477876106194	287.52949852507373	16.668141592920353	14.386430678466077	3.5855457227138645	1.308259587020649	110.2433628318584	54.13864306784661	36.24483775811209	32.52949852507375	104.71533923303835	44.94985250737463	7.617994100294985	90.76106194690266	21.17551622418879	6.166666666666667	25.39085545722714	29.63126843657817
1820	0.4043560606060606	0.0	127.62026515151516	95.04640151515152	300.75	16.09469696969697	14.728219696969697	5.6581439393939394	0.9801136363636364	114.42234848484848	63.78409090909091	35.40056818181818	34.38731060606061	105.4375	38.46969696969697	8.839015151515152	90.76136363636364	26.875	5.553030303030303	24.81534090909091	20.956439393939394
1821	0.0	0.0	133.62422360248448	94.92028985507247	331.74948240165634	15.853002070393375	13.856107660455487	4.532091097308489	0.7318840579710145	113.48550724637681	58.42546583850932	38.67080745341615	39.24120082815735	115.40165631469979	41.435817805383024	12.765010351966874	93.89233954451346	23.182194616977224	5.885093167701863	25.96583850931677	28.643892339544514
1822	0.0	0.0	115.2978354978355	82.4008658008658	280.47532467532466	12.9004329004329	10.335930735930736	3.994805194805195	1.7255411255411255	105.09177489177489	57.38961038961039	29.752380952380953	33.08138528138528	99.97489177489177	39.881385281385285	10.838961038961038	83.34025974025974	23.892640692640693	5.29004329004329	20.213852813852814	22.786147186147186
1823	0.0	0.0	121.4625850340136	103.23809523809524	297.8095238095238	19.989795918367346	9.227891156462585	7.557823129251701	1.6258503401360545	110.56802721088435	62.673469387755105	31.452380952380953	38.43877551020408	93.49319727891157	40.095238095238095	12.204081632653061	66.27891156462584	18.418367346938776	5.003401360544218	28.935374149659864	26.224489795918366
1824	0.0	0.0	127.34130434782608	95.10724637681159	330.795652173913	16.96086956521739	12.655797101449275	4.421739130434783	1.4855072463768115	113.25	60.88478260869565	28.329710144927535	33.38985507246377	106.77898550724638	41.596376811594205	11.326811594202898	95.14710144927537	22.767391304347825	7.489130434782608	30.389130434782608	26.02391304347826
1825	0.0	0.0	7.53921568627451	2.5	46.627450980392155	0.0	0.0	0.0	0.0	7.186274509803922	2.480392156862745	4.509803921568627	0.0	5.166666666666667	0.0	0.0	2.343137254901961	0.9019607843137255	0.0	2.5294117647058822	2.4313725490196076
