# min_read_ani:0.95 max_insert_relative:3 min_insert:50 min_mapq:1 pairing_filter:paired_only
scaffold	pass_pairing_filter	filtered_pairs	mean_mistmaches	unfiltered_pairs	pass_min_read_ani	median_insert	unfiltered_reads	mean_mapq_score	pass_min_mapq	unfiltered_priority_reads	pass_max_insert	unfiltered_singletons	pass_min_insert	mean_PID	mean_insert_distance	mean_pair_length	filtered_singletons	filtered_priority_reads
NORP83_46	731	731	2.2571819425444595	731	731.0	163.0	1684	39.26675786593707	731.0	0	731.0	222	731.0	0.9897184926629284	172.42407660738715	219.57729138166889	0	0
NORP83_48	1164	1162	2.0369415807560136	1164	1164.0	160.0	2422	34.17182130584193	1162.0	0	1164.0	94	1164.0	0.9907425889585614	170.15463917525773	219.573883161512	0	0
NORP83_39	1256	1249	2.2173566878980893	1256	1256.0	163.0	2680	37.11624203821656	1249.0	0	1256.0	168	1256.0	0.9898701079780932	170.14729299363057	219.5812101910828	0	0
NORP83_50	1089	1085	2.024793388429752	1089	1089.0	162.0	2347	39.40128558310376	1085.0	0	1089.0	169	1089.0	0.9907557477318988	170.0532598714417	219.5840220385675	0	0
NORP83_51	891	891	1.0482603815937148	891	891.0	162.0	1918	39.98653198653199	891.0	0	891.0	136	891.0	0.9952087882546706	172.65544332211002	220.5982042648709	0	0
NORP83_43	1729	1727	1.7518796992481205	1729	1729.0	162.0	3682	40.67379988432621	1728.0	0	1728.0	224	1729.0	0.9920460479190156	171.27761711972238	220.36495083863502	0	0
NORP83_57	686	686	1.9285714285714288	686	686.0	167.5	1486	40.3469387755102	686.0	0	686.0	114	686.0	0.9911530050708944	172.33673469387756	218.14285714285717	0	0
NORP83_49	1487	1487	0.9831876260928044	1487	1487.0	164.0	3050	41.22730329522528	1487.0	0	1487.0	76	1487.0	0.9955135317100196	171.21856086079353	218.2367182246133	0	0
NORP83_55	769	769	2.392717815344604	769	769.0	169.0	1615	41.34330299089727	769.0	0	769.0	77	769.0	0.9890023378421524	172.4629388816645	217.24707412223668	0	0
NORP83_54	764	764	2.273560209424084	764	764.0	164.0	1665	40.33769633507853	764.0	0	764.0	137	764.0	0.9895792321316376	172.8442408376963	219.07853403141362	0	0
NORP83_41	2114	2113	1.912488174077578	2114	2113.0	161.0	4420	40.347682119205295	2114.0	0	2114.0	192	2114.0	0.9912842129317642	169.35808893093662	219.24124881740772	0	0
NORP83_52	532	532	3.0432330827067675	532	532.0	157.0	1279	39.43984962406015	532.0	0	532.0	215	532.0	0.986079850983234	164.8045112781955	219.12781954887214	0	0
NORP83_58	614	614	2.2882736156351795	614	614.0	162.0	1346	40.938110749185675	614.0	0	614.0	118	614.0	0.9894515197522014	170.15472312703582	216.73289902280132	0	0
NORP83_62	953	951	2.393494228751312	953	952.0	159.0	2023	40.50682056663169	953.0	0	952.0	117	953.0	0.9890135483567929	169.73976915005247	219.36726128016792	0	0
NORP83_31	2972	2971	1.949865410497981	2972	2972.0	165.0	6203	41.27893674293404	2971.0	0	2972.0	259	2972.0	0.9911417643471424	174.68876177658143	220.43405114401082	0	0
NORP83_65	765	765	1.674509803921569	765	765.0	162.0	1579	41.40392156862745	765.0	0	765.0	49	765.0	0.9923433975053696	169.9516339869281	219.67581699346405	0	0
NORP83_47	1529	1527	1.7305428384565076	1529	1529.0	166.0	3190	38.55330281229562	1527.0	0	1529.0	132	1529.0	0.9921187249156199	172.890124264225	219.7632439502943	0	0
